'Zone','avg_seconds_between_pickups'
'Little Italy/NoLiTa',1621.3212764107467478
'Queensboro Hill',1488.8809675366008633
'Greenwich Village North',239.07805142104385787
'Laurelton',1022.8609140673079469
'Cypress Hills',518.6494543125323986
'Eltingville/Annadale/Prince''s Bay',4827.9886094335298096
'Greenwich Village South',262.71684809963353757
'Pelham Bay',1405.7915414579853496
'Sunset Park East',797.09368334700574365
'Crown Heights North',117.80875423890051489
'Whitestone',1443.5798303961233202
'Seaport',861.60052931707191703
'Yorkville East',1955.3504022955632279
'Bath Beach',1676.5258421597515336
'Flushing',411.99184594710951401
'Prospect Heights',561.07693264395992471
'Midtown South',168.07242945907987063
'Midtown North',182.00371757925070781
'Hudson Sq',521.58517772198731421
'Penn Station/Madison Sq West',1056.6442206395612046
'Ocean Hill',351.07295719844358039
'Riverdale/North Riverdale/Fieldston',1156.2247304150419235
'Hammels/Arverne',1050.0661235347910071
'Central Park',433.49012972750360361
'Upper East Side North',132.06680551373415344
'Brooklyn Navy Yard',2334.1908334873404662
'Lenox Hill East',191.16350219590964698
'Elmhurst/Maspeth',948.37138480944229712
'Forest Park/Highland Park',12514.07535197303078
'West Concourse',328.84319483494746094
'Breezy Point/Fort Tilden/Riis Beach',19239.147820786346443
'Crotona Park East',650.47873195048104832
'Auburndale',2306.75992549033948
'Kensington',928.9758038419675401
'College Point',1384.5331681866010953
'Upper West Side South',1129.9141519308102399
'Garment District',247.55601591439155839
'World Trade Center',505.14056051444473638
'Bensonhurst East',711.77767008891841271
'Borough Park',366.66723369173963575
'Brownsville',239.64961922144349948
'Governor''s Island/Ellis Island/Liberty Island',4180347.6428571428868
'Sunset Park West',393.37183519666162112
'Arden Heights',7111.1853603603600859
'Newark Airport',31959.92288178589824
'Oakland Gardens',2986.6610706516599549
'Long Island City/Queens Plaza',715.77506658355529722
'Westerleigh',2603.142910140148647
'Battery Park City',383.24002402970943848
'NV',71.15519555225525039
'Spuyten Duyvil/Kingsbridge',530.43022718683072724
'Kew Gardens Hills',1129.2053638476668986
'Marine Park/Floyd Bennett Field',17549.871837642481153
'Marine Park/Mill Basin',605.62550702402075941
'Washington Heights South',205.39632704697048382
'Astoria',188.8613207660012172
'Murray Hill',897.61278681589917738
'Hollis',1534.4843286845815555
'Maspeth',733.18435105641981408
'Financial District North',290.71532336018410802
'Claremont/Bathgate',456.28743064385623995
'Manhattan Beach',1673.7076906768431072
'Kips Bay',221.77620619425524317
'Queensbridge/Ravenswood',7478.2908341840457211
'East Tremont',371.61049330414930302
'Stuyvesant Heights',201.41806376308730719
'East Chelsea',1418.7724831293715865
'Flatbush/Ditmas Park',207.18806034779699842
'Upper West Side North',199.20152657309571964
'Columbia Street',3622.3988528821338128
'LaGuardia Airport',919.59490691444649712
'Stuy Town/Peter Cooper Village',830.20031811131271837
'Fordham South',717.68122315401923216
'Corona',521.48282581412255254
'Grymes Hill/Clifton',1849.5353618180219612
'Red Hook',989.04737369624449172
'East Flushing',1770.9175616184840151
'JFK Airport',790.52678771014317504
'West Village',1040.8051996488574264
'Springfield Gardens South',942.19299449524864797
'Highbridge Park',17729.852891633912648
'Melrose South',359.46780573594612206
'Saint Albans',429.81569473462135633
'Howard Beach',1447.2929853106308861
'Rockaway Park',3107.0279937026468175
'Middle Village',920.42795517145901129
'New Dorp/Midland Beach',3445.3356246590289835
'Hillcrest/Pomonok',860.01482944100224869
'Sheepshead Bay',563.76597397032837122
'Kew Gardens',910.57220299884651382
'UN/Turtle Bay South',253.70639109825661172
'Richmond Hill',449.11413089854086422
'Windsor Terrace',1350.2226023004231247
'Great Kills',3184.2506555062524142
'NA',2153.5594243426663396
'Longwood',706.5001286425415472
'Marble Hill',1541.6150072009178195
'East Williamsburg',256.945301725365427
'Ocean Parkway South',1732.0120666959191169
'Lenox Hill West',171.04203621906930443
'Randalls Island',13526.170987786587662
'Central Harlem',227.66252969356601809
'Jackson Heights',1534.972254240079259
'Bloomingdale',861.92293310041758758
'Van Cortlandt Village',429.52266374684606731
'East Concourse/Concourse Village',308.30687182391103284
'Park Slope',209.69745435469038241
'Upper East Side South',1174.466004755730264
'Lincoln Square East',1103.8322955962995841
'Lower East Side',190.34418191133479325
'Co-Op City',3064.9426122949101625
'Saint Michaels Cemetery/Woodside',5435.8465180339159417
'Inwood Hill Park',7056.2585513078470711
'Carroll Gardens',815.81353742814695095
'Yorkville West',202.69111162459321207
'Gravesend',1245.7850281092810451
'Soundview/Castle Hill',312.41523545706373354
'Country Club',6095.2276061776062832
'Union Sq',884.75009058283582419
'Woodlawn/Wakefield',563.31664808455608195
'Ridgewood',309.7981968636414507
'Brighton Beach',857.23353195879088417
'East Flatbush/Remsen Village',291.78812294699492113
'Schuylerville/Edgewater Park',578.32198780286798722
'Mariners Harbor',1398.4882639503986112
'City Island',8140.3584686774941303
'West Chelsea/Hudson Yards',181.0752286476103201
'Morrisania/Melrose',405.94693473538070449
'Clinton West',274.43277135656556353
'Midtown East',1017.2970410708883637
'Allerton/Pelham Gardens',796.74692167945089238
'Charleston/Tottenville',4797.3571103008207927
'Manhattanville',680.80838426629588511
'Stapleton',1016.2440543236894718
'South Jamaica',539.84695273100262724
'Bay Terrace/Fort Totten',2752.4325749651326056
'Freshkills Park',80408.224203821649922
'Briarwood/Jamaica Hills',837.24341486047588745
'Murray Hill-Queens',986.98087171232558034
'Rego Park',730.42310094374531814
'University Heights/Morris Heights',344.29442548598467865
'Baisley Park',3433.9383637900868784
'Midwood',580.61320867462793415
'Bedford',199.75226215363983683
'Steinway',385.70578032917035571
'Times Sq/Theatre District',161.41728429862121529
'Flatlands',324.57897008942335759
'Gramercy',1102.988301341944366
'Van Cortlandt Park',2884.2444282060650806
'Port Richmond',2796.5682401913025678
'Sunnyside',308.12800710337460152
'Central Harlem North',166.36525083303701499
'Alphabet City',513.50721609249605492
'Van Nest/Morris Park',424.80589074081542833
'South Ozone Park',336.5003622995364374
'Bloomfield/Emerson Hill',1360.673575352795428
'Long Island City/Hunters Point',284.24596973815674516
'Bronx Park',4036.1251997187963524
'Pelham Bay Park',7930.6674623115576139
'South Williamsburg',1156.9884221517943156
'Jamaica',284.31246848890809886
'Madison',792.66805562528235284
'Bellerose',2589.5571774160481837
'Cambria Heights',1682.9009539543808848
'Gowanus',980.1068003352058966
'Clinton Hill',315.97016754801559024
'Cobble Hill',1335.2761063069540359
'Roosevelt Island',3214.7768388903026348
'Bushwick South',160.42346193607710524
'Glendale',769.02006672673701714
'Bayside',1045.5206760693946943
'Bronxdale',627.01513030528666092
'Forest Hills',311.2280009264324132
'Glen Oaks',2550.3774986875584751
'Jamaica Bay',773118.84415584417595
'Washington Heights North',311.11666272585760673
'Boerum Hill',354.96379976057594873
'East Village',110.36303175920667563
'Astoria Park',45214.720430107524506
'Clinton East',144.67399580113768919
'East Elmhurst',783.91307852572049696
'Rikers Island',4278366.2857142852331
'Crotona Park',10799.985633658286676
'Far Rockaway',932.57859842891743795
'Bedford Park',342.08243061724115108
'Brooklyn Heights',411.55354850481238315
'Willets Point',28457.029385171793478
'Great Kills Park',1006255.5483870967432
'Green-Wood Cemetery',40757.569399612654237
